,Gender,Ever_Married,Age,Graduated,Profession,Income,Work_Experience,Spending_Score,Family_Size,cluster number
67,1,1.0,89,1.0,3.0,694,0.0,3,2.0,3
68,1,0.0,18,0.0,1.0,549,0.0,1,3.0,3
69,1,1.0,57,1.0,5.0,600,0.0,3,2.0,3
70,1,0.0,18,0.0,4.0,826,0.0,1,4.0,1
71,1,1.0,71,1.0,5.0,696,1.0,3,2.0,3
72,1,1.0,69,1.0,5.0,525,0.0,2,2.0,3
73,1,0.0,42,1.0,1.0,819,0.0,1,4.0,1
74,1,0.0,36,1.0,5.0,506,0.0,1,2.0,3
75,1,1.0,80,1.0,3.0,542,1.0,3,2.0,3
77,1,1.0,67,1.0,5.0,700,0.0,2,3.0,3
78,1,1.0,47,1.0,7.0,1605,1.0,2,4.0,0
79,1,1.0,49,1.0,5.0,1605,0.0,2,2.0,0
80,1,1.0,32,0.0,2.0,825,9.0,1,4.0,1
81,1,1.0,65,1.0,3.0,882,1.0,2,4.0,1
82,1,1.0,78,0.0,3.0,577,0.0,3,2.0,3
83,0,0.0,33,1.0,5.0,744,1.0,1,6.0,3
84,0,1.0,48,1.0,5.0,740,1.0,1,1.0,3
85,0,1.0,58,1.0,6.0,827,1.0,2,5.0,1
87,1,0.0,30,0.0,1.0,659,9.0,1,4.0,3
88,1,0.0,35,1.0,5.0,727,0.0,1,2.0,3
89,0,0.0,32,1.0,1.0,1443,6.0,1,5.0,2
90,0,1.0,69,1.0,8.0,689,1.0,3,2.0,3
91,1,1.0,71,1.0,3.0,632,1.0,3,2.0,3
92,0,0.0,43,1.0,3.0,587,0.0,1,1.0,3
93,0,1.0,37,1.0,5.0,639,0.0,1,2.0,3
94,0,0.0,42,1.0,7.0,615,0.0,1,1.0,3
95,1,1.0,70,1.0,7.0,606,1.0,2,2.0,3
96,0,0.0,46,1.0,5.0,524,0.0,1,2.0,3
98,0,1.0,70,1.0,5.0,1301,0.0,2,2.0,2
100,0,1.0,60,1.0,4.0,527,1.0,1,1.0,3
101,0,0.0,37,1.0,4.0,1387,0.0,1,2.0,2
102,0,1.0,30,1.0,1.0,554,1.0,1,2.0,3
103,1,0.0,32,1.0,2.0,1309,1.0,1,3.0,2
104,0,1.0,26,1.0,6.0,845,0.0,1,3.0,1
105,0,0.0,42,1.0,9.0,1404,0.0,1,1.0,2
108,0,1.0,29,1.0,1.0,876,8.0,3,2.0,1
109,1,1.0,88,1.0,5.0,824,1.0,3,2.0,1
110,0,1.0,70,1.0,3.0,794,1.0,1,1.0,1
111,1,1.0,50,1.0,5.0,512,1.0,3,4.0,3
112,0,1.0,43,1.0,7.0,1360,4.0,2,4.0,2
113,0,1.0,51,1.0,5.0,606,6.0,2,2.0,3
118,0,1.0,60,0.0,6.0,527,0.0,1,2.0,3
119,0,0.0,46,1.0,5.0,611,2.0,1,1.0,3
120,1,1.0,81,1.0,9.0,1328,0.0,1,2.0,2
122,0,1.0,22,0.0,6.0,1563,0.0,3,4.0,0
123,0,1.0,37,1.0,5.0,821,0.0,2,3.0,1
124,0,1.0,43,0.0,2.0,658,0.0,1,1.0,3
125,0,1.0,50,1.0,5.0,769,1.0,2,3.0,1
126,1,1.0,35,1.0,5.0,1587,1.0,2,2.0,0
127,0,1.0,65,0.0,3.0,574,1.0,3,2.0,3
128,1,0.0,41,1.0,2.0,1770,0.0,1,4.0,0
129,0,0.0,28,0.0,4.0,784,8.0,1,2.0,1
130,0,1.0,55,1.0,5.0,1470,4.0,2,2.0,2
132,0,0.0,28,0.0,1.0,820,1.0,1,3.0,1
134,1,1.0,78,0.0,7.0,1668,1.0,3,2.0,0
135,1,0.0,35,1.0,7.0,1347,1.0,1,3.0,2
136,1,1.0,76,1.0,3.0,524,0.0,3,2.0,3
137,1,1.0,88,1.0,3.0,542,1.0,3,2.0,3
140,0,0.0,30,0.0,7.0,1781,0.0,1,4.0,0
141,0,1.0,69,0.0,6.0,561,0.0,3,2.0,3
142,0,1.0,65,1.0,7.0,1465,1.0,2,2.0,2
143,1,1.0,70,1.0,3.0,1085,1.0,1,2.0,1
144,0,1.0,32,0.0,1.0,1670,0.0,2,4.0,0
146,0,0.0,21,0.0,1.0,1582,8.0,1,5.0,0
148,1,0.0,39,0.0,9.0,834,0.0,1,2.0,1
149,0,1.0,85,1.0,3.0,519,0.0,1,3.0,3
150,1,0.0,66,1.0,5.0,1015,0.0,1,2.0,1
151,1,1.0,50,1.0,5.0,1781,1.0,2,2.0,0
152,1,1.0,42,1.0,5.0,1760,0.0,2,3.0,0
153,0,1.0,53,1.0,5.0,563,9.0,1,1.0,3
155,1,1.0,45,1.0,5.0,768,1.0,1,2.0,1
158,0,1.0,40,1.0,5.0,1090,4.0,1,1.0,1
159,1,1.0,35,1.0,5.0,657,1.0,1,1.0,3
161,1,1.0,48,1.0,5.0,871,0.0,2,3.0,1
162,1,1.0,56,1.0,5.0,1430,0.0,2,2.0,2
165,1,1.0,46,1.0,4.0,653,7.0,1,3.0,3
166,0,1.0,49,0.0,3.0,570,0.0,1,2.0,3
167,0,1.0,72,0.0,9.0,591,1.0,1,4.0,3
170,1,1.0,77,1.0,3.0,619,0.0,1,1.0,3
172,0,1.0,42,1.0,1.0,1049,6.0,3,4.0,1
175,0,0.0,26,1.0,1.0,514,1.0,1,1.0,3
176,0,1.0,67,1.0,3.0,1682,1.0,3,2.0,0
177,0,1.0,55,1.0,2.0,824,1.0,1,1.0,1
180,0,1.0,46,1.0,5.0,608,8.0,2,2.0,3
181,0,1.0,32,1.0,1.0,616,7.0,1,2.0,3
182,1,0.0,49,1.0,8.0,604,13.0,1,1.0,3
183,0,1.0,59,1.0,5.0,628,1.0,3,2.0,3
184,0,0.0,22,0.0,1.0,619,8.0,1,5.0,3
185,1,0.0,28,1.0,5.0,528,8.0,1,1.0,3
186,0,0.0,28,1.0,4.0,1010,1.0,1,3.0,1
187,0,1.0,75,1.0,3.0,1354,2.0,1,1.0,2
188,1,1.0,37,1.0,5.0,1682,13.0,1,2.0,0
189,0,1.0,50,1.0,7.0,580,0.0,2,2.0,3
190,1,1.0,50,1.0,6.0,693,1.0,3,4.0,3
192,1,1.0,35,1.0,5.0,1399,3.0,2,5.0,2
195,0,1.0,46,1.0,5.0,1350,0.0,1,1.0,2
196,1,1.0,50,1.0,5.0,582,1.0,2,4.0,3
197,1,0.0,33,1.0,5.0,680,7.0,1,3.0,3
198,0,1.0,49,1.0,5.0,1576,0.0,1,1.0,0
199,0,1.0,52,1.0,5.0,659,1.0,2,3.0,3
200,0,0.0,25,0.0,1.0,832,0.0,1,3.0,1
201,1,1.0,41,1.0,5.0,803,6.0,1,1.0,1
202,1,1.0,68,1.0,5.0,1533,0.0,3,2.0,0
203,1,1.0,79,0.0,3.0,887,2.0,3,2.0,1
204,0,1.0,40,1.0,4.0,646,5.0,2,5.0,3
208,0,0.0,28,1.0,4.0,1349,1.0,1,5.0,2
209,0,1.0,57,1.0,7.0,1781,0.0,2,2.0,0
211,1,1.0,63,0.0,2.0,593,8.0,1,1.0,3
212,1,1.0,26,0.0,4.0,741,1.0,1,3.0,3
213,1,1.0,50,0.0,9.0,1018,0.0,3,3.0,1
214,1,0.0,30,0.0,9.0,1344,9.0,1,4.0,2
216,0,1.0,61,1.0,5.0,1326,1.0,2,3.0,2
217,0,0.0,42,1.0,5.0,1310,3.0,1,1.0,2
218,0,1.0,88,1.0,5.0,1422,4.0,1,2.0,2
219,0,1.0,45,0.0,5.0,1422,3.0,2,3.0,2
220,1,1.0,86,1.0,3.0,672,1.0,1,1.0,3
221,0,0.0,18,0.0,1.0,1535,1.0,1,5.0,0
223,0,1.0,46,1.0,5.0,825,1.0,1,1.0,1
225,1,1.0,72,1.0,3.0,1761,8.0,3,2.0,0
226,1,1.0,50,1.0,5.0,545,0.0,3,3.0,3
228,0,0.0,46,0.0,5.0,703,3.0,1,3.0,3
230,0,1.0,42,0.0,6.0,1052,9.0,3,6.0,1
233,0,0.0,19,0.0,1.0,877,4.0,1,4.0,1
234,0,1.0,68,1.0,6.0,668,1.0,1,1.0,3
235,1,1.0,40,1.0,5.0,834,0.0,1,2.0,1
237,1,0.0,23,0.0,1.0,808,1.0,1,3.0,1
238,1,1.0,84,0.0,3.0,1042,1.0,3,2.0,1
239,0,1.0,51,0.0,5.0,544,0.0,1,4.0,3
241,1,1.0,41,1.0,5.0,626,1.0,2,5.0,3
242,0,1.0,51,0.0,6.0,835,1.0,3,2.0,1
244,1,1.0,62,0.0,3.0,689,1.0,3,4.0,3
245,1,1.0,38,1.0,5.0,749,8.0,1,1.0,3
247,0,0.0,22,0.0,1.0,561,3.0,1,4.0,3
249,1,1.0,62,1.0,4.0,1517,1.0,1,1.0,2
250,1,0.0,43,0.0,4.0,1524,1.0,1,3.0,2
253,0,0.0,48,1.0,5.0,1086,1.0,1,1.0,1
254,1,0.0,31,1.0,2.0,1507,4.0,1,2.0,2
255,0,1.0,46,0.0,5.0,1027,4.0,3,4.0,1
256,1,1.0,49,0.0,2.0,1566,1.0,2,4.0,0
258,0,0.0,42,1.0,5.0,591,8.0,1,1.0,3
262,1,0.0,39,1.0,2.0,1031,1.0,1,1.0,1
263,0,0.0,20,0.0,1.0,1554,0.0,1,5.0,0
265,0,1.0,72,1.0,6.0,642,1.0,1,1.0,3
266,0,1.0,70,1.0,1.0,649,0.0,1,1.0,3
267,0,0.0,45,1.0,5.0,516,2.0,1,1.0,3
268,0,0.0,33,0.0,6.0,637,7.0,1,5.0,3
269,0,1.0,50,0.0,4.0,505,0.0,2,3.0,3
270,0,0.0,31,1.0,4.0,783,6.0,1,1.0,1
271,1,1.0,74,0.0,3.0,1453,1.0,3,2.0,2
274,0,1.0,49,1.0,9.0,506,0.0,3,2.0,3
275,1,0.0,18,0.0,1.0,1018,1.0,1,3.0,1
276,1,1.0,85,0.0,4.0,1559,2.0,2,2.0,0
278,0,1.0,28,0.0,5.0,1799,0.0,1,4.0,0
279,0,1.0,46,0.0,5.0,814,3.0,2,2.0,1
280,0,1.0,59,1.0,8.0,1435,9.0,2,3.0,2
281,1,1.0,56,1.0,5.0,730,0.0,1,2.0,3
282,0,1.0,69,1.0,5.0,584,0.0,1,1.0,3
283,0,1.0,66,1.0,5.0,588,0.0,1,2.0,3
284,0,0.0,18,0.0,1.0,839,4.0,1,6.0,1
285,0,0.0,36,1.0,5.0,511,4.0,1,1.0,3
286,0,0.0,31,1.0,9.0,623,1.0,1,2.0,3
287,0,1.0,67,0.0,6.0,892,1.0,3,2.0,1
288,1,0.0,39,1.0,5.0,798,7.0,1,1.0,1
289,0,0.0,42,1.0,4.0,1696,4.0,1,3.0,0
290,0,1.0,50,1.0,5.0,773,0.0,1,2.0,1
291,1,1.0,37,1.0,5.0,1494,0.0,2,2.0,2
292,1,0.0,59,1.0,5.0,516,0.0,1,1.0,3
293,0,1.0,50,1.0,5.0,1680,8.0,1,2.0,0
294,0,1.0,48,1.0,5.0,791,8.0,1,3.0,1
295,0,1.0,55,1.0,5.0,1355,9.0,1,1.0,2
296,1,0.0,33,1.0,7.0,1647,1.0,1,3.0,0
297,0,0.0,38,1.0,5.0,1334,13.0,1,1.0,2
298,0,0.0,43,1.0,5.0,536,0.0,1,2.0,3
299,1,0.0,53,1.0,5.0,732,0.0,1,2.0,3
300,0,0.0,37,1.0,4.0,728,0.0,1,1.0,3
301,1,0.0,36,1.0,5.0,862,5.0,1,1.0,1
302,0,0.0,36,1.0,5.0,806,5.0,1,1.0,1
303,0,1.0,62,1.0,5.0,821,1.0,1,1.0,1
304,1,0.0,38,0.0,5.0,1087,2.0,1,2.0,1
305,0,0.0,55,1.0,4.0,749,1.0,1,1.0,3
306,0,1.0,60,0.0,4.0,678,1.0,2,2.0,3
307,1,1.0,36,1.0,4.0,1445,7.0,2,2.0,2
308,0,0.0,30,0.0,4.0,1751,5.0,1,9.0,0
309,1,0.0,66,0.0,4.0,1789,4.0,1,3.0,0
310,0,1.0,45,1.0,4.0,1447,1.0,1,1.0,2
314,1,1.0,62,1.0,8.0,1432,4.0,1,1.0,2
315,0,1.0,61,1.0,5.0,1095,1.0,1,2.0,1
316,1,1.0,50,1.0,5.0,587,4.0,1,2.0,3
317,0,1.0,53,1.0,4.0,584,3.0,1,2.0,3
318,0,0.0,39,1.0,5.0,733,7.0,1,1.0,3
319,1,0.0,86,1.0,3.0,872,0.0,1,1.0,1
320,0,1.0,50,1.0,5.0,1672,1.0,1,1.0,0
322,0,0.0,52,1.0,9.0,872,0.0,1,1.0,1
323,1,0.0,45,0.0,9.0,1372,0.0,1,1.0,2
324,1,0.0,37,1.0,5.0,506,9.0,1,1.0,3
325,1,1.0,36,1.0,2.0,586,3.0,1,1.0,3
327,1,0.0,40,0.0,7.0,1534,1.0,1,1.0,0
328,0,1.0,41,1.0,5.0,811,11.0,3,2.0,1
330,0,1.0,80,0.0,3.0,1732,4.0,2,2.0,0
331,1,0.0,46,1.0,5.0,1771,3.0,1,1.0,0
332,1,1.0,81,1.0,3.0,890,1.0,1,1.0,1
335,1,0.0,26,1.0,1.0,867,8.0,1,3.0,1
336,0,0.0,26,1.0,5.0,805,1.0,1,1.0,1
337,1,0.0,47,1.0,5.0,889,0.0,1,1.0,1
339,0,1.0,48,1.0,2.0,601,1.0,2,5.0,3
340,0,1.0,39,1.0,5.0,530,1.0,2,3.0,3
341,0,1.0,50,1.0,5.0,708,8.0,2,2.0,3
342,1,0.0,46,1.0,5.0,678,1.0,1,2.0,3
343,0,1.0,26,1.0,2.0,1744,8.0,2,2.0,0
345,1,1.0,36,1.0,5.0,1088,4.0,1,2.0,1
346,0,0.0,29,1.0,1.0,871,1.0,1,4.0,1
347,1,0.0,39,0.0,5.0,615,1.0,1,1.0,3
348,1,0.0,41,1.0,5.0,720,0.0,1,3.0,3
350,0,1.0,40,1.0,4.0,556,9.0,3,3.0,3
351,1,0.0,25,1.0,1.0,1506,4.0,1,3.0,2
352,1,1.0,41,1.0,5.0,1003,7.0,1,2.0,1
353,0,0.0,37,1.0,5.0,805,11.0,1,1.0,1
355,1,1.0,51,1.0,2.0,1621,0.0,2,3.0,0
356,0,1.0,73,1.0,4.0,514,1.0,2,3.0,3
358,0,0.0,39,1.0,4.0,1049,5.0,1,1.0,1
359,1,0.0,19,0.0,1.0,803,0.0,1,4.0,1
360,1,0.0,19,0.0,1.0,645,0.0,1,7.0,3
361,1,0.0,23,0.0,4.0,738,1.0,1,5.0,3
362,0,1.0,83,1.0,6.0,1514,0.0,3,2.0,2
363,1,1.0,62,1.0,5.0,626,1.0,3,2.0,3
364,1,0.0,43,1.0,5.0,517,9.0,1,4.0,3
365,1,0.0,27,0.0,5.0,877,0.0,1,5.0,1
366,0,0.0,50,1.0,5.0,674,0.0,1,1.0,3
367,1,0.0,23,0.0,4.0,1312,0.0,1,6.0,2
368,0,0.0,35,0.0,4.0,813,9.0,1,2.0,1
369,0,0.0,32,0.0,1.0,692,9.0,1,3.0,3
370,1,0.0,42,1.0,7.0,519,2.0,1,3.0,3
371,0,0.0,33,0.0,4.0,668,13.0,1,1.0,3
372,1,0.0,28,1.0,4.0,1085,9.0,1,3.0,1
374,1,0.0,35,1.0,1.0,1321,9.0,1,2.0,2
375,1,1.0,39,1.0,4.0,595,0.0,1,2.0,3
377,0,1.0,35,1.0,4.0,640,11.0,1,6.0,3
378,1,1.0,45,1.0,2.0,543,0.0,2,2.0,3
380,0,0.0,52,0.0,4.0,672,1.0,1,1.0,3
381,0,0.0,28,0.0,1.0,1670,0.0,1,3.0,0
382,0,1.0,38,1.0,1.0,541,9.0,1,3.0,3
383,1,0.0,42,1.0,4.0,539,8.0,1,1.0,3
385,1,0.0,27,1.0,1.0,516,7.0,1,2.0,3
386,0,1.0,41,1.0,5.0,620,0.0,1,2.0,3
387,0,1.0,41,1.0,5.0,599,1.0,1,2.0,3
388,0,1.0,47,1.0,6.0,851,0.0,3,4.0,1
389,0,0.0,35,1.0,7.0,1376,8.0,1,1.0,2
390,1,0.0,88,1.0,3.0,515,0.0,1,1.0,3
391,1,0.0,46,1.0,5.0,1425,6.0,1,1.0,2
392,1,1.0,41,1.0,5.0,568,3.0,1,2.0,3
393,1,0.0,30,1.0,7.0,658,10.0,1,5.0,3
394,0,1.0,43,1.0,7.0,618,12.0,1,2.0,3
395,1,0.0,29,1.0,4.0,1031,9.0,1,2.0,1
396,0,1.0,48,1.0,5.0,600,1.0,1,1.0,3
397,1,1.0,61,1.0,5.0,629,4.0,2,6.0,3
398,1,0.0,51,1.0,3.0,1559,2.0,1,1.0,0
399,1,0.0,38,1.0,5.0,546,2.0,1,1.0,3
401,1,0.0,43,1.0,1.0,869,9.0,1,1.0,1
402,0,0.0,27,0.0,1.0,1332,14.0,1,4.0,2
403,1,0.0,35,0.0,7.0,1447,14.0,1,6.0,2
404,1,1.0,39,0.0,7.0,1650,4.0,2,2.0,0
406,1,0.0,38,1.0,2.0,1319,10.0,1,1.0,2
407,1,0.0,30,1.0,4.0,1373,12.0,1,2.0,2
408,1,0.0,43,1.0,5.0,830,10.0,1,1.0,1
409,1,0.0,42,0.0,4.0,804,10.0,1,4.0,1
410,1,0.0,46,1.0,5.0,680,2.0,1,1.0,3
411,1,0.0,47,1.0,5.0,1095,11.0,1,2.0,1
412,1,0.0,32,0.0,4.0,594,13.0,1,5.0,3
413,1,1.0,53,1.0,5.0,749,11.0,2,2.0,3
415,1,0.0,39,1.0,5.0,1558,0.0,1,2.0,0
417,1,0.0,37,1.0,5.0,519,3.0,1,1.0,3
418,0,0.0,19,0.0,1.0,531,0.0,1,4.0,3
419,0,0.0,30,0.0,9.0,754,1.0,1,1.0,3
420,1,1.0,49,1.0,5.0,882,0.0,1,1.0,1
421,0,1.0,55,1.0,1.0,617,0.0,1,3.0,3
422,1,1.0,59,1.0,7.0,508,1.0,1,2.0,3
424,1,1.0,27,1.0,6.0,670,9.0,3,2.0,3
425,1,0.0,25,1.0,5.0,582,1.0,1,2.0,3
426,1,0.0,37,1.0,7.0,661,1.0,1,1.0,3
427,0,0.0,38,1.0,5.0,1477,9.0,1,3.0,2
428,0,0.0,29,1.0,4.0,766,9.0,1,3.0,1
429,0,0.0,28,1.0,5.0,1604,11.0,1,2.0,0
430,1,1.0,27,1.0,9.0,840,8.0,1,2.0,1
431,1,0.0,42,0.0,4.0,1329,3.0,1,2.0,2
432,1,0.0,43,1.0,5.0,560,14.0,1,2.0,3
433,1,1.0,40,1.0,1.0,543,8.0,2,2.0,3
434,0,0.0,41,1.0,5.0,1761,9.0,1,3.0,0
435,0,1.0,46,0.0,4.0,1375,8.0,1,1.0,2
436,1,0.0,32,1.0,1.0,1004,9.0,1,3.0,1
437,1,0.0,56,1.0,4.0,1004,1.0,1,1.0,1
438,0,0.0,28,1.0,9.0,743,12.0,1,1.0,3
439,1,0.0,25,1.0,5.0,601,0.0,1,3.0,3
440,0,1.0,42,1.0,5.0,601,6.0,1,7.0,3
441,1,0.0,41,1.0,4.0,511,5.0,1,2.0,3
442,0,1.0,36,1.0,1.0,675,3.0,1,2.0,3
443,1,0.0,42,1.0,5.0,1036,2.0,1,1.0,1
444,1,0.0,42,1.0,5.0,644,8.0,1,4.0,3
445,1,0.0,55,1.0,4.0,685,1.0,1,2.0,3
447,1,0.0,47,1.0,2.0,1526,1.0,1,1.0,2
449,1,0.0,26,1.0,5.0,861,8.0,1,1.0,1
450,1,0.0,28,0.0,5.0,804,5.0,1,2.0,1
451,1,0.0,37,1.0,7.0,1648,0.0,1,1.0,0
453,0,0.0,25,0.0,9.0,1009,2.0,1,1.0,1
454,0,1.0,50,1.0,6.0,525,1.0,3,4.0,3
455,1,0.0,42,1.0,7.0,663,5.0,1,1.0,3
458,1,0.0,30,0.0,2.0,742,1.0,1,5.0,3
459,0,1.0,26,0.0,4.0,1474,2.0,1,4.0,2
463,0,0.0,30,0.0,4.0,704,1.0,1,6.0,3
464,1,0.0,20,0.0,1.0,771,4.0,1,7.0,1
465,1,0.0,19,0.0,9.0,1791,8.0,1,5.0,0
466,0,0.0,19,0.0,1.0,1425,9.0,1,6.0,2
468,0,0.0,20,0.0,1.0,581,0.0,1,6.0,3
470,1,0.0,26,1.0,2.0,538,1.0,1,3.0,3
471,0,0.0,31,0.0,7.0,569,0.0,1,4.0,3
472,0,1.0,31,1.0,1.0,802,2.0,3,3.0,1
473,1,1.0,41,1.0,2.0,618,9.0,2,3.0,3
475,1,1.0,42,1.0,8.0,1098,0.0,2,3.0,1
477,0,1.0,78,0.0,3.0,1089,1.0,3,3.0,1
478,1,1.0,65,1.0,3.0,887,1.0,1,2.0,1
480,0,0.0,36,1.0,5.0,636,8.0,1,2.0,3
481,1,1.0,55,1.0,5.0,858,0.0,2,4.0,1
482,0,1.0,52,1.0,2.0,832,0.0,2,2.0,1
483,0,1.0,52,1.0,8.0,866,7.0,2,3.0,1
486,1,0.0,37,0.0,2.0,683,7.0,1,1.0,3
487,1,0.0,40,0.0,1.0,541,1.0,1,2.0,3
489,0,0.0,25,0.0,7.0,832,0.0,1,3.0,1
490,1,0.0,33,1.0,2.0,540,1.0,1,4.0,3
491,0,0.0,26,1.0,5.0,1007,1.0,1,1.0,1
492,1,0.0,28,0.0,4.0,650,0.0,1,1.0,3
493,0,0.0,18,0.0,9.0,624,0.0,1,6.0,3
494,0,0.0,52,0.0,4.0,783,0.0,1,3.0,1
495,0,0.0,26,1.0,1.0,841,0.0,1,2.0,1
496,0,0.0,18,0.0,1.0,1394,0.0,1,4.0,2
497,1,0.0,20,0.0,9.0,525,1.0,1,2.0,3
498,1,1.0,36,1.0,7.0,525,0.0,2,3.0,3
499,0,1.0,27,1.0,7.0,669,8.0,2,2.0,3
501,0,0.0,27,1.0,4.0,829,8.0,1,4.0,1
505,0,1.0,80,1.0,3.0,1536,1.0,1,2.0,0
506,1,1.0,71,1.0,3.0,1597,7.0,3,3.0,0
507,0,1.0,47,0.0,7.0,869,8.0,3,4.0,1
512,1,0.0,26,1.0,5.0,752,0.0,1,4.0,3
515,1,0.0,37,0.0,7.0,596,1.0,1,2.0,3
517,1,0.0,28,0.0,8.0,542,8.0,1,1.0,3
518,1,1.0,29,1.0,5.0,689,9.0,1,3.0,3
519,1,1.0,37,1.0,9.0,875,7.0,2,3.0,1
522,1,0.0,33,0.0,8.0,865,8.0,1,1.0,1
524,1,0.0,32,0.0,7.0,875,6.0,1,2.0,1
526,1,1.0,48,1.0,8.0,885,9.0,2,2.0,1
527,1,0.0,27,0.0,8.0,538,8.0,1,1.0,3
528,1,0.0,49,1.0,5.0,1380,1.0,1,1.0,2
529,1,1.0,33,1.0,2.0,505,8.0,2,5.0,3
530,1,0.0,33,0.0,2.0,547,7.0,1,6.0,3
531,0,1.0,39,1.0,5.0,1361,0.0,1,3.0,2
532,0,1.0,50,1.0,4.0,1725,0.0,2,4.0,0
534,1,1.0,46,1.0,5.0,682,0.0,2,2.0,3
535,0,1.0,31,0.0,4.0,715,0.0,2,3.0,3
536,0,1.0,57,1.0,5.0,1369,3.0,2,2.0,2
537,0,1.0,73,0.0,6.0,1500,1.0,3,4.0,2
538,0,1.0,36,1.0,4.0,613,9.0,1,4.0,3
539,0,0.0,53,1.0,9.0,700,2.0,1,4.0,3
542,0,1.0,35,1.0,5.0,631,2.0,2,3.0,3
543,0,1.0,62,1.0,5.0,575,0.0,2,3.0,3
544,0,0.0,23,0.0,9.0,725,0.0,1,3.0,3
545,0,0.0,51,1.0,5.0,725,1.0,1,2.0,3
546,1,1.0,83,0.0,3.0,1680,1.0,3,2.0,0
547,1,0.0,26,1.0,1.0,557,0.0,1,2.0,3
548,0,1.0,86,1.0,3.0,715,1.0,1,1.0,3
549,0,0.0,26,1.0,1.0,589,0.0,1,4.0,3
550,0,1.0,42,1.0,6.0,721,0.0,1,3.0,3
551,1,1.0,41,1.0,8.0,1409,9.0,1,1.0,2
552,0,1.0,67,0.0,3.0,501,0.0,1,3.0,3
553,0,1.0,68,1.0,3.0,765,1.0,3,2.0,1
